,file_name,ppe_id,anchor,nao_processados_count,total_esperado,nao_processados_loss_percentage
14,STC_C1P1_4T_data.csv,Capacete,1,165,181,8.83977900552486
15,STC_C1P1_4T_data.csv,Capacete,2,174,181,3.867403314917127
16,STC_C1P1_4T_data.csv,Capacete,3,170,181,6.077348066298343
17,STC_C1P1_4T_data.csv,Capacete,4,169,181,6.629834254143646
18,STC_C1P1_4T_data.csv,Capacete,5,156,181,13.812154696132598
19,STC_C1P1_4T_data.csv,Capacete,6,125,181,30.939226519337016
20,STC_C1P1_4T_data.csv,Capacete,7,155,181,14.3646408839779
49,STC_C1P2_4T_data.csv,Capacete,1,149,181,17.67955801104972
50,STC_C1P2_4T_data.csv,Capacete,2,171,181,5.524861878453039
51,STC_C1P2_4T_data.csv,Capacete,3,157,181,13.259668508287293
52,STC_C1P2_4T_data.csv,Capacete,4,165,181,8.83977900552486
53,STC_C1P2_4T_data.csv,Capacete,5,124,181,31.491712707182316
54,STC_C1P2_4T_data.csv,Capacete,6,120,181,33.70165745856354
55,STC_C1P2_4T_data.csv,Capacete,7,125,181,30.939226519337016
70,STC_C1P3_4T_data.csv,Capacete,1,169,181,6.629834254143646
71,STC_C1P3_4T_data.csv,Capacete,2,168,181,7.18232044198895
72,STC_C1P3_4T_data.csv,Capacete,3,169,181,6.629834254143646
73,STC_C1P3_4T_data.csv,Capacete,4,168,181,7.18232044198895
74,STC_C1P3_4T_data.csv,Capacete,5,163,181,9.94475138121547
75,STC_C1P3_4T_data.csv,Capacete,6,123,181,32.04419889502763
76,STC_C1P3_4T_data.csv,Capacete,7,161,181,11.049723756906078
105,STC_C1P4_4T_data.csv,Capacete,1,50,181,72.37569060773481
106,STC_C1P4_4T_data.csv,Capacete,2,174,181,3.867403314917127
107,STC_C1P4_4T_data.csv,Capacete,3,171,181,5.524861878453039
108,STC_C1P4_4T_data.csv,Capacete,4,145,181,19.88950276243094
109,STC_C1P4_4T_data.csv,Capacete,5,167,181,7.734806629834254
110,STC_C1P4_4T_data.csv,Capacete,6,102,181,43.646408839779006
111,STC_C1P4_4T_data.csv,Capacete,7,171,181,5.524861878453039
133,STC_C1P5_4T_data.csv,Capacete,1,108,181,40.331491712707184
134,STC_C1P5_4T_data.csv,Capacete,2,158,181,12.70718232044199
135,STC_C1P5_4T_data.csv,Capacete,3,156,181,13.812154696132598
136,STC_C1P5_4T_data.csv,Capacete,4,156,181,13.812154696132598
137,STC_C1P5_4T_data.csv,Capacete,5,167,181,7.734806629834254
138,STC_C1P5_4T_data.csv,Capacete,6,162,181,10.497237569060774
139,STC_C1P5_4T_data.csv,Capacete,7,173,181,4.41988950276243
158,STC_C2P1_4T_data.csv,Capacete,1,129,181,28.7292817679558
159,STC_C2P1_4T_data.csv,Capacete,2,167,181,7.734806629834254
160,STC_C2P1_4T_data.csv,Capacete,3,139,181,23.204419889502763
161,STC_C2P1_4T_data.csv,Capacete,4,169,181,6.629834254143646
162,STC_C2P1_4T_data.csv,Capacete,5,133,181,26.519337016574585
163,STC_C2P1_4T_data.csv,Capacete,7,114,181,37.01657458563536
171,STC_C2P2_4T_data.csv,Capacete,1,153,181,15.469613259668508
172,STC_C2P2_4T_data.csv,Capacete,2,152,181,16.022099447513813
173,STC_C2P2_4T_data.csv,Capacete,3,146,181,19.337016574585636
174,STC_C2P2_4T_data.csv,Capacete,4,172,181,4.972375690607735
175,STC_C2P2_4T_data.csv,Capacete,5,149,181,17.67955801104972
176,STC_C2P2_4T_data.csv,Capacete,6,135,181,25.41436464088398
177,STC_C2P2_4T_data.csv,Capacete,7,129,181,28.7292817679558
204,STC_C2P3_4T_data.csv,Capacete,1,180,181,0.5524861878453038
205,STC_C2P3_4T_data.csv,Capacete,2,160,181,11.602209944751381
206,STC_C2P3_4T_data.csv,Capacete,3,160,181,11.602209944751381
207,STC_C2P3_4T_data.csv,Capacete,5,137,181,24.30939226519337
208,STC_C2P3_4T_data.csv,Capacete,6,86,181,52.48618784530387
209,STC_C2P3_4T_data.csv,Capacete,7,136,181,24.861878453038674
237,STC_C2P4_4T_data.csv,Capacete,1,168,181,7.18232044198895
238,STC_C2P4_4T_data.csv,Capacete,2,161,181,11.049723756906078
239,STC_C2P4_4T_data.csv,Capacete,3,161,181,11.049723756906078
240,STC_C2P4_4T_data.csv,Capacete,4,176,181,2.7624309392265194
241,STC_C2P4_4T_data.csv,Capacete,5,153,181,15.469613259668508
242,STC_C2P4_4T_data.csv,Capacete,6,127,181,29.83425414364641
243,STC_C2P4_4T_data.csv,Capacete,7,139,181,23.204419889502763
262,STC_C2P5_4T_data.csv,Capacete,1,169,181,6.629834254143646
263,STC_C2P5_4T_data.csv,Capacete,2,175,181,3.314917127071823
264,STC_C2P5_4T_data.csv,Capacete,3,166,181,8.287292817679557
265,STC_C2P5_4T_data.csv,Capacete,4,167,181,7.734806629834254
266,STC_C2P5_4T_data.csv,Capacete,6,127,181,29.83425414364641
267,STC_C2P5_4T_data.csv,Capacete,7,133,181,26.519337016574585
275,STC_C3P1_4T_data.csv,Capacete,1,154,181,14.917127071823206
276,STC_C3P1_4T_data.csv,Capacete,2,174,181,3.867403314917127
277,STC_C3P1_4T_data.csv,Capacete,3,112,181,38.12154696132597
278,STC_C3P1_4T_data.csv,Capacete,4,160,181,11.602209944751381
279,STC_C3P1_4T_data.csv,Capacete,5,145,181,19.88950276243094
280,STC_C3P1_4T_data.csv,Capacete,6,121,181,33.14917127071823
281,STC_C3P1_4T_data.csv,Capacete,7,154,181,14.917127071823206
310,STC_C3P2_4T_data.csv,Capacete,1,181,181,0.0
311,STC_C3P2_4T_data.csv,Capacete,2,176,181,2.7624309392265194
312,STC_C3P2_4T_data.csv,Capacete,3,155,181,14.3646408839779
313,STC_C3P2_4T_data.csv,Capacete,4,142,181,21.54696132596685
314,STC_C3P2_4T_data.csv,Capacete,5,144,181,20.441988950276244
315,STC_C3P2_4T_data.csv,Capacete,6,166,181,8.287292817679557
316,STC_C3P2_4T_data.csv,Capacete,7,151,181,16.574585635359114
345,STC_C3P3_4T_data.csv,Capacete,1,172,181,4.972375690607735
346,STC_C3P3_4T_data.csv,Capacete,2,143,181,20.994475138121548
347,STC_C3P3_4T_data.csv,Capacete,3,157,181,13.259668508287293
348,STC_C3P3_4T_data.csv,Capacete,4,168,181,7.18232044198895
349,STC_C3P3_4T_data.csv,Capacete,5,128,181,29.2817679558011
350,STC_C3P3_4T_data.csv,Capacete,6,139,181,23.204419889502763
351,STC_C3P3_4T_data.csv,Capacete,7,136,181,24.861878453038674
366,STC_C3P4_4T_data.csv,Capacete,1,172,181,4.972375690607735
367,STC_C3P4_4T_data.csv,Capacete,2,157,181,13.259668508287293
368,STC_C3P4_4T_data.csv,Capacete,3,161,181,11.049723756906078
369,STC_C3P4_4T_data.csv,Capacete,4,171,181,5.524861878453039
370,STC_C3P4_4T_data.csv,Capacete,5,128,181,29.2817679558011
371,STC_C3P4_4T_data.csv,Capacete,6,159,181,12.154696132596685
372,STC_C3P4_4T_data.csv,Capacete,7,132,181,27.071823204419886
394,STC_C3P5_4T_data.csv,Capacete,1,111,181,38.67403314917127
395,STC_C3P5_4T_data.csv,Capacete,2,159,181,12.154696132596685
396,STC_C3P5_4T_data.csv,Capacete,3,176,181,2.7624309392265194
397,STC_C3P5_4T_data.csv,Capacete,4,160,181,11.602209944751381
398,STC_C3P5_4T_data.csv,Capacete,5,156,181,13.812154696132598
399,STC_C3P5_4T_data.csv,Capacete,6,139,181,23.204419889502763
400,STC_C3P5_4T_data.csv,Capacete,7,157,181,13.259668508287293
408,STC_C4P1_4T_data.csv,Capacete,1,178,181,1.6574585635359116
409,STC_C4P1_4T_data.csv,Capacete,2,151,181,16.574585635359114
410,STC_C4P1_4T_data.csv,Capacete,3,176,181,2.7624309392265194
411,STC_C4P1_4T_data.csv,Capacete,4,158,181,12.70718232044199
412,STC_C4P1_4T_data.csv,Capacete,5,155,181,14.3646408839779
413,STC_C4P1_4T_data.csv,Capacete,6,129,181,28.7292817679558
414,STC_C4P1_4T_data.csv,Capacete,7,151,181,16.574585635359114
450,STC_C4P2_4T_data.csv,Capacete,1,169,181,6.629834254143646
451,STC_C4P2_4T_data.csv,Capacete,2,140,181,22.65193370165746
452,STC_C4P2_4T_data.csv,Capacete,3,169,181,6.629834254143646
453,STC_C4P2_4T_data.csv,Capacete,4,154,181,14.917127071823206
454,STC_C4P2_4T_data.csv,Capacete,5,171,181,5.524861878453039
455,STC_C4P2_4T_data.csv,Capacete,6,148,181,18.23204419889503
456,STC_C4P2_4T_data.csv,Capacete,7,161,181,11.049723756906078
471,STC_C4P3_4T_data.csv,Capacete,1,174,181,3.867403314917127
472,STC_C4P3_4T_data.csv,Capacete,2,143,181,20.994475138121548
473,STC_C4P3_4T_data.csv,Capacete,3,166,181,8.287292817679557
474,STC_C4P3_4T_data.csv,Capacete,4,170,181,6.077348066298343
475,STC_C4P3_4T_data.csv,Capacete,5,168,181,7.18232044198895
476,STC_C4P3_4T_data.csv,Capacete,6,115,181,36.46408839779006
477,STC_C4P3_4T_data.csv,Capacete,7,167,181,7.734806629834254
513,STC_C4P4_4T_data.csv,Capacete,1,179,181,1.1049723756906076
514,STC_C4P4_4T_data.csv,Capacete,2,157,181,13.259668508287293
515,STC_C4P4_4T_data.csv,Capacete,3,168,181,7.18232044198895
516,STC_C4P4_4T_data.csv,Capacete,4,173,181,4.41988950276243
517,STC_C4P4_4T_data.csv,Capacete,5,154,181,14.917127071823206
518,STC_C4P4_4T_data.csv,Capacete,6,142,181,21.54696132596685
519,STC_C4P4_4T_data.csv,Capacete,7,145,181,19.88950276243094
541,STC_C4P5_4T_data.csv,Capacete,1,159,181,12.154696132596685
542,STC_C4P5_4T_data.csv,Capacete,2,137,181,24.30939226519337
543,STC_C4P5_4T_data.csv,Capacete,3,178,181,1.6574585635359116
544,STC_C4P5_4T_data.csv,Capacete,4,150,181,17.12707182320442
545,STC_C4P5_4T_data.csv,Capacete,5,165,181,8.83977900552486
546,STC_C4P5_4T_data.csv,Capacete,6,143,181,20.994475138121548
547,STC_C4P5_4T_data.csv,Capacete,7,155,181,14.3646408839779
562,STC_C4P6_4T_data.csv,Capacete,1,0,181,100.0
563,STC_C4P6_4T_data.csv,Capacete,2,153,181,15.469613259668508
564,STC_C4P6_4T_data.csv,Capacete,3,179,181,1.1049723756906076
565,STC_C4P6_4T_data.csv,Capacete,4,160,181,11.602209944751381
566,STC_C4P6_4T_data.csv,Capacete,5,149,181,17.67955801104972
567,STC_C4P6_4T_data.csv,Capacete,6,140,181,22.65193370165746
568,STC_C4P6_4T_data.csv,Capacete,7,151,181,16.574585635359114
597,STC_OFICINA_4T_data.csv,Capacete,1,154,181,14.917127071823206
598,STC_OFICINA_4T_data.csv,Capacete,2,139,181,23.204419889502763
599,STC_OFICINA_4T_data.csv,Capacete,3,165,181,8.83977900552486
600,STC_OFICINA_4T_data.csv,Capacete,4,169,181,6.629834254143646
601,STC_OFICINA_4T_data.csv,Capacete,5,146,181,19.337016574585636
602,STC_OFICINA_4T_data.csv,Capacete,6,138,181,23.756906077348066
603,STC_OFICINA_4T_data.csv,Capacete,7,139,181,23.204419889502763
611,STC_PORTAdeENTRADA_4T_data.csv,Capacete,1,159,181,12.154696132596685
612,STC_PORTAdeENTRADA_4T_data.csv,Capacete,2,139,181,23.204419889502763
613,STC_PORTAdeENTRADA_4T_data.csv,Capacete,3,179,181,1.1049723756906076
614,STC_PORTAdeENTRADA_4T_data.csv,Capacete,4,146,181,19.337016574585636
615,STC_PORTAdeENTRADA_4T_data.csv,Capacete,5,145,181,19.88950276243094
616,STC_PORTAdeENTRADA_4T_data.csv,Capacete,6,155,181,14.3646408839779
617,STC_PORTAdeENTRADA_4T_data.csv,Capacete,7,152,181,16.022099447513813
646,STC_SALAdeREUNIAO_4T_data.csv,Capacete,1,170,181,6.077348066298343
647,STC_SALAdeREUNIAO_4T_data.csv,Capacete,2,154,181,14.917127071823206
648,STC_SALAdeREUNIAO_4T_data.csv,Capacete,3,173,181,4.41988950276243
649,STC_SALAdeREUNIAO_4T_data.csv,Capacete,4,154,181,14.917127071823206
650,STC_SALAdeREUNIAO_4T_data.csv,Capacete,5,152,181,16.022099447513813
651,STC_SALAdeREUNIAO_4T_data.csv,Capacete,6,139,181,23.204419889502763
652,STC_SALAdeREUNIAO_4T_data.csv,Capacete,7,169,181,6.629834254143646
